Timestamp,WindSpeed,RotorSpeed,GeneratorSpeed,Power,GeneratorTemp
2022-01-19 07:57:06.631,3.8,57.2,687.0,4.74,28.0
2022-01-19 07:58:06.631,3.4,50.7,610.0,3.22,41.5
2022-01-19 07:59:06.631,2.3,35.5,421.0,0.87,15.9
2022-01-19 08:00:06.631,4.4,62.6,740.0,5.8,52.2
2022-01-19 08:01:06.631,4.4,65.5,777.0,6.73,48.1
2022-01-19 08:02:06.631,3.5,44.3,524.0,1.87,25.4
2022-01-19 08:03:06.631,2.1,31.6,381.0,0.54,13.1
2022-01-19 08:04:06.631,4.5,60.8,732.0,5.97,27.7
2022-01-19 08:05:06.631,2.9,47.9,578.0,2.66,42.2
2022-01-19 08:06:06.631,4.8,64.0,771.0,6.61,48.6
2022-01-19 08:07:06.631,4.7,66.9,781.0,6.7,53.2
2022-01-19 08:08:06.631,2.7,38.9,472.0,1.31,21.5
2022-01-19 08:09:06.631,3.4,48.2,572.0,2.47,56.7
2022-01-19 08:10:06.631,3.2,51.8,636.0,3.59,45.9
2022-01-19 08:11:06.631,6.2,65.1,784.0,6.78,57.7
2022-01-19 08:12:06.631,4.0,63.5,758.0,6.63,28.9
2022-01-19 08:13:06.631,5.9,65.1,777.0,6.72,57.0
2022-01-19 08:14:06.631,3.8,60.2,721.0,5.36,51.8
2022-01-19 08:15:06.631,5.3,66.6,788.0,6.8,53.8
2022-01-19 08:16:06.631,4.0,57.8,686.0,4.46,53.1
2022-01-19 08:17:06.631,5.7,66.5,782.0,6.79,57.4
2022-01-19 08:18:06.631,3.5,54.7,637.0,3.43,52.7
2022-01-19 08:19:06.631,2.7,48.1,576.0,2.7,19.5
2022-01-19 08:20:06.631,2.1,28.4,343.0,0.26,12.0
2022-01-19 08:21:06.631,2.7,43.4,528.0,2.04,19.7
2022-01-19 08:22:06.631,2.1,25.2,309.0,0.14,15.5
2022-01-19 08:23:06.631,5.4,66.9,789.0,6.84,49.7
2022-01-19 08:24:06.631,2.1,37.7,453.0,1.03,43.2
2022-01-19 08:25:06.631,4.7,65.3,779.0,6.74,45.6
2022-01-19 08:26:06.631,4.9,67.0,773.0,6.49,49.8
2022-01-19 08:27:06.631,5.8,66.5,790.0,6.81,57.1
2022-01-19 08:28:06.631,3.7,57.2,686.0,4.75,30.2
2022-01-19 08:29:06.631,5.0,65.7,789.0,6.83,54.6
2022-01-19 08:30:06.631,4.6,65.3,776.0,7.08,27.8
2022-01-19 08:31:06.631,5.7,65.5,780.0,6.76,51.0
2022-01-19 08:32:06.631,2.2,33.3,395.0,0.63,23.2
